"Film"	"Budget"	"CA_USA"	"CA_Monde"
"Talladega Nights: The Ballad of Ricky Bobby"	73000000	148213377	162926797
"Unbreakable"	73243106	94999143	248099143
"Virus"	75000000	14010690	30626690
"Flight of the Phoenix"	75000000	21009180	34009180
"Titan A.E."	75000000	22751979	36751979
"Hollywood Homicide"	75000000	30207785	51107785
"Spanglish"	75000000	42044321	54344321
"Bandits"	75000000	41523271	71523271
"Lady in the Water"	75000000	42285169	72785169
"Life"	75000000	64062587	73521587
"Hostage"	75000000	34636443	77636443
"Tears of the Sun"	75000000	43632458	85632458
"Sucker Punch"	75000000	36392502	89758389
"Be Cool"	75000000	55849401	94849401
"Killers"	75000000	47059963	95572749
"Charlie Wilson's War"	75000000	66661095	119512771
"First Knight"	75000000	37361412	127361412
"Munich"	75000000	47379090	130279090
"Monster House"	75000000	73661010	140161010
"Dreamgirls"	75000000	103365956	154965956
"Immortals"	75000000	83147360	183147360
"50 First Dates"	75000000	120776832	196324496
"Valkyrie"	75000000	83077762	198686789
"Hairspray"	75000000	118871849	202871849
"Vertical Limit"	75000000	68473360	213500000
"The Terminal"	75000000	77073959	218673959
"Constantine"	75000000	75976178	230884728
"Grown Ups"	75000000	162001186	272223430
"X-Men"	75000000	157299717	296339717
"The Rock"	75000000	134069511	336069511
"Wanted"	75000000	134508551	340934768
"Shark Tale"	75000000	161192000	367605111
"Madagascar"	75000000	193595521	532680671
"Ice Age: The Meltdown"	75000000	195330621	651899282
"The Lost World: Jurassic Park"	75000000	229086679	786686679
"Independence Day"	75000000	306169255	817400878
"Daddy Day Camp"	76000000	13235267	18197398
"The Adventures of Rocky & Bullwinkle"	76000000	26000610	35129610
"Children of Men"	76000000	35552383	69450202
"2 Fast 2 Furious"	76000000	127120058	236220058
"Exorcist: The Beginning"	78000000	41814863	43957541
"Hidalgo"	78000000	67286731	107336658
"The League of Extraordinary Gentlemen"	78000000	66465204	179265204
"Red Dragon"	78000000	92955420	206455420
"Australia"	78000000	49554002	207485132
"A Beautiful Mind"	78000000	170708996	316708996
"The Lion King"	79300000	422780140	952880140
"A Sound of Thunder"	80000000	1900451	6300451
"Timeline"	80000000	19480739	26703184
"Battlefield Earth: A Saga of the Year 3000"	80000000	21471685	29725663
"Red Planet"	80000000	17480890	33463969
"The Invasion"	80000000	15074191	40147042
"Nine"	80000000	19676965	53508858
"Looney Tunes: Back in Action"	80000000	20950820	54540662
"Little Nicky"	80000000	39442871	58270391
"Thirteen Days"	80000000	34566746	66554547
"Babe: Pig in the City"	80000000	18319860	69131860
"What Dreams May Come"	80000000	55485043	71485043
"Oceans"	80000000	19422319	82522319
"The Manchurian Candidate"	80000000	65948711	96148711
"Evolution"	80000000	38311134	98341932
"The Time Machine"	80000000	56684819	98983590
"The Wild"	80000000	37384046	99384046
"Mars Attacks!"	80000000	37771017	101371017
"The Brothers Grimm"	80000000	37899638	105299638
"Spirit: Stallion of the Cimarron"	80000000	73215310	106515310
"Arthur et les Minimoys"	80000000	15132763	110102340
"Surrogates"	80000000	38577772	119668350
"Bewitched"	80000000	63313159	131159306
"Lost In Space"	80000000	69117629	136047317
"The Legend of Zorro"	80000000	45575336	141475336
"Conspiracy Theory"	80000000	76118990	142783718
"Swordfish"	80000000	69772969	147080413
"The Book of Eli"	80000000	94835059	158860864
"Daylight"	80000000	32908290	158908290
"The Pink Panther"	80000000	82226474	158926474
"Cold Mountain"	80000000	95632614	161632614
"Four Christmases"	80000000	120146040	163546040
"Six Days, Seven Nights"	80000000	74339294	164800000
"Flubber"	80000000	92993801	177993801
"Eagle Eye"	80000000	101440743	178066569
"The Haunting"	80000000	91188905	180188905
"Déjà Vu"	80000000	64038616	181038616
"Daredevil"	80000000	102543518	182782518
"The Road to Perdition"	80000000	104054514	183354514
"Bedtime Stories"	80000000	110101975	218357961
"Con Air"	80000000	101117573	224117573
"The Day the Earth Stood Still"	80000000	79366978	233066978
"Face/Off"	80000000	112276146	241200000
"Lilo & Stitch"	80000000	145771527	245800000
"Space Jam"	80000000	90463534	250200000
"Robots"	80000000	128200012	260700012
"Something's Gotta Give"	80000000	124685242	266685242
"Batman Returns"	80000000	162831698	266822354
"Shutter Island"	80000000	128012934	296831073
"Deep Impact"	80000000	140464664	349464664
"The Mummy"	80000000	155385488	416385488
"Mission: Impossible"	80000000	180981886	457697994
"Bruce Almighty"	81000000	242704995	483473962
"The 6th Day"	82000000	34543701	96024898
"The Longest Yard"	82000000	158119460	190320568
"The Expendables"	82000000	103068524	266150548
"Charlotte's Web"	82500000	82985708	143985708
"Hellboy 2: The Golden Army"	82500000	75986503	160388063
"Jumper"	82500000	81168265	223113205
"Click"	82500000	137355633	237555633
"Nutty Professor II: The Klumps"	84000000	123307945	166307945
"Scooby-Doo"	84000000	153294164	276294164
"Father's Day"	85000000	28681080	35681080
"Scott Pilgrim vs. The World"	85000000	31611316	48089760
"The Core"	85000000	31111260	74132631
"Collateral Damage"	85000000	40048332	78353508
"Showtime"	85000000	37948765	78948765
"The Rundown"	85000000	47641743	80831893
"Zodiac"	85000000	33080084	83080084
"Enemy at the Gates"	85000000	51396781	96971293
"Judge Dredd"	85000000	34687912	113487912
"Cats & Dogs: The Revenge of Kitty Galore"	85000000	45539292	114979922
"Last Action Hero"	85000000	50016394	137298489
"Tower Heist"	85000000	77643095	140843095
"Arthur Christmas"	85000000	46462469	146755165
"The Fast and the Furious: Tokyo Drift"	85000000	62615510	157794205
"Memoirs of a Geisha"	85000000	57010853	161510853
"I Now Pronounce You Chuck and Larry"	85000000	119725280	185708462
"Open Season"	85000000	85105259	189901703
"The Holiday"	85000000	63280000	205190324
"It's Complicated"	85000000	112735375	224614744
"Enemy of the State"	85000000	111549836	250649836
"The Bourne Supremacy"	85000000	176087450	288587450
"Horton Hears a Who"	85000000	154529439	297133947
"Ocean's Thirteen"	85000000	117144465	311744465
"Air Force One"	85000000	172956409	315268353
"Enchanted"	85000000	127706877	340384141
"Fast & Furious"	85000000	155064265	363064265
"Happy Feet"	85000000	198000317	385000317
"Cast Away"	85000000	233632142	427230516
"Ocean's Eleven"	85000000	183417150	450728529
"Seabiscuit"	86000000	120277854	148336445
"Hannibal"	87000000	165092266	350100280
"Fantastic Four"	87500000	154696080	330717080
"Cinderella Man"	88000000	61649911	108539911
"Twister"	88000000	241888385	495900000
"The Nutcracker in 3D"	90000000	195459	12606721
"Conan the Barbarian 3D"	90000000	21295021	32634027
"K-19: The Widowmaker"	90000000	35168966	65716126
"Bicentennial Man"	90000000	58220776	87420776
"Mission to Mars"	90000000	60874615	106000000
"Volcano"	90000000	47546796	120100000
"The Three Musketeers 3D"	90000000	20377913	139877913
"The Devil's Own"	90000000	42885593	140900000
"Spy Game"	90000000	62362560	143049560
"Lara Croft: Tomb Raider: The Cradle of Life"	90000000	65653758	156453758
"The Interpreter"	90000000	72708161	163954076
"Contact"	90000000	100920329	165900000
"The Saint"	90000000	61363304	169400000
"Atlantis: The Lost Empire"	90000000	84052762	186049020
"Tropic Thunder"	90000000	110461307	188163455
"Hollow Man"	90000000	73209340	191200000
"King Arthur"	90000000	51877963	203877963
"Artificial Intelligence: AI"	90000000	78616689	235900000
"Charlie's Angels"	90000000	125305545	259736090
"What Lies Beneath"	90000000	155464351	288693989
"The Departed"	90000000	133311000	290539042
"Mulan"	90000000	120620254	303500000
"Rush Hour 2"	90000000	226164286	347425832
"Die Hard: With a Vengeance"	90000000	100012499	364480746
"Toy Story 2"	90000000	245852179	484966906
"Rio"	90000000	143619809	485442854
"Sherlock Holmes"	90000000	209028679	524028679
"Men in Black"	90000000	250690539	587790539
"Ice Age: Dawn of the Dinosaurs"	90000000	196573705	886968695
"Cutthroat Island"	92000000	10017322	18517322
"The Alamo"	92000000	22406362	23911362
"The Incredibles"	92000000	261441092	632882184
"The Spiderwick Chronicles"	92500000	71195053	162839667
"Jurassic Park 3"	93000000	181166115	365900000
"Rise of the Planet of the Apes"	93000000	176760185	482860185
"Lara Croft: Tomb Raider"	94000000	131144183	274644183
"Finding Nemo"	94000000	339714978	867894287
"The Lord of the Rings: The Two Towers"	94000000	342548984	927048984
"The Lord of the Rings: The Return of the King"	94000000	377845905	1141408667
"The Road to El Dorado"	95000000	50802661	65700000
"The Lovely Bones"	95000000	44114232	94894448
"Unstoppable"	95000000	81562942	169511609
"Black Hawk Down"	95000000	108638745	173638745
"Percy Jackson & the Olympians: The Lightning Thief"	95000000	88768303	226467130
"The Fifth Element"	95000000	63570862	263900000
"Sex and the City 2"	95000000	95347692	294680778
"Gangs of New York"	97000000	77730500	190400000
"The Mummy Returns"	98000000	202007640	433007640
"The Adventures of Pluto Nash"	100000000	4411102	7094995
"Son of the Mask"	100000000	17018422	59918422
"Land of the Lost"	100000000	49438370	69548641
"Catwoman"	100000000	40202379	82145379
"Treasure Planet"	100000000	38120554	91800000
"Peter Pan"	100000000	48417850	95255485
"The Stepford Wives"	100000000	59475623	96221971
"Green Zone"	100000000	35497337	97523020
"Where the Wild Things Are"	100000000	77233467	99123656
"Starship Troopers"	100000000	54768952	121100000
"Cloudy with a Chance of Meatballs"	100000000	124870275	139525862
"Legend of the Guardians: The Owls of Ga'Hoole 3D"	100000000	55675313	139906561
"Surf's Up"	100000000	58867694	145395745
"The Emperor's New Groove"	100000000	89296573	169296573
"Blood Diamond"	100000000	57377916	171377916
"Lemony Snicket's A Series of Unfortunate Events"	100000000	118627117	201627117
"End of Days"	100000000	66889043	212026975
"Eraser"	100000000	101295562	234400000
"Eragon"	100000000	75030163	249488115
"American Gangster"	100000000	130164645	265697825
"Little Fockers"	100000000	148438600	310650574
"The Hunchback of Notre Dame"	100000000	100138851	325500000
"Batman Forever"	100000000	184031112	336529144
"National Treasure"	100000000	173005002	347405002
"Planet of the Apes"	100000000	180011740	362211740
"True Lies"	100000000	146282411	365300000
"Terminator 2: Judgment Day"	100000000	204859496	516816151
"Harry Potter and the Chamber of Secrets"	100000000	261987880	878979634
"Minority Report"	102000000	132024714	358824714
"Casino Royale (bis)"	102000000	167365000	596365000
"Public Enemies"	102500000	97104620	210379983
"Gladiator"	103000000	187683805	457683805
"Gone in 60 Seconds"	103300000	101643008	232643008
"Town & Country"	105000000	6712451	10364769
"The Princess and the Frog"	105000000	104400899	263494174
"10,000 B.C."	105000000	94784201	269065678
"Stuart Little"	105000000	140015224	298800000
"I, Robot"	105000000	144801023	348601023
"Ali"	109000000	58183966	87683966
"The Cat in the Hat"	109000000	101018283	133818283
"The Lord of the Rings: The Fellowship of the Ring"	109000000	315544750	869390266
"Around the World in 80 Days"	110000000	24004159	72004159
"Home on the Range"	110000000	50026353	76482461
"Speed II: Cruise Control"	110000000	48097081	150468000
"The Taking of Pelham 123"	110000000	65452312	152364370
"The A-Team"	110000000	77222099	177241171
"Kingdom of Heaven"	110000000	47398413	211398413
"The Aviator"	110000000	102608827	214608827
"The Patriot"	110000000	113330342	215300000
"The Green Hornet"	110000000	98780042	227983150
"Real Steel"	110000000	85054193	271254193
"Tomorrow Never Dies"	110000000	125304276	339504276
"Ocean's Twelve"	110000000	125531634	362989076
"Live Free or Die Hard"	110000000	134529403	383531464
"The Matrix Revolutions"	110000000	139259759	424259759
"Mr. And Mrs. Smith"	110000000	186336279	478336279
"The Smurfs"	110000000	142614158	563627756
"Night at the Museum"	110000000	250863268	574480841
"Gulliver's Travels"	112000000	42779261	239179261
"Astérix aux Jeux Olympiques"	113500000	999811	132999811
"Windtalkers"	115000000	40914068	77628265
"Dante's Peak"	115000000	67163857	178200000
"Monsters, Inc."	115000000	255870172	526864330
"Star Wars Ep. II: Attack of the Clones"	115000000	310676740	656695615
"Star Wars Ep. III: Revenge of the Sith"	115000000	380270577	848998877
"Star Wars Ep. I: The Phantom Menace"	115000000	431088297	924288297
"Knight and Day"	117000000	76423035	262142047
"How Do You Know?"	120000000	30212620	48668307
"Speed Racer"	120000000	43945766	93394462
"The Chronicles of Riddick"	120000000	57712751	107212751
"The Island"	120000000	35818913	163018913
"Stuart Little 2"	120000000	64956806	166000000
"Charlie's Angels: Full Throttle"	120000000	100814328	227200000
"Ghost Rider"	120000000	115802596	237702596
"Fantastic Four: Rise of the Silver Surfer"	120000000	131921738	288215319
"The Perfect Storm"	120000000	182618434	328711434
"The Last Samurai"	120000000	111110575	456810575
"Mission: Impossible 2"	120000000	215409889	546209889
"How the Grinch Stole Christmas"	123000000	260044825	345141403
"The 13th Warrior"	125000000	32698899	61698899
"Batman & Robin"	125000000	107325195	238317814
"Godzilla"	125000000	136314294	376000000
"X2"	125000000	214949694	407711549
"Clash of the Titans (bis)"	125000000	163214888	493214888
"The Day After Tomorrow"	125000000	186740799	544272402
"Fast Five"	125000000	209837675	627080015
"Pirates of the Caribbean: The Curse of the Black Pearl"	125000000	305411224	658311224
"The Da Vinci Code"	125000000	217536138	757236138
"Harry Potter and the Deathly Hallows: Part I"	125000000	295983305	956399711
"Harry Potter and the Sorcerer's Stone"	125000000	317575550	974755371
"Harry Potter and the Deathly Hallows: Part II"	125000000	381011219	1327711219
"The Matrix Reloaded"	127000000	281553689	738576929
"Dinosaur"	127500000	137748063	356148063
"The Twilight Saga: Breaking Dawn, Part 1"	127500000	279953739	671353739
"Bad Boys II"	130000000	138540870	272940870
"Salt"	130000000	118311368	295713467
"Megamind"	130000000	148415853	321887208
"The Adventures of Tintin: Secret of the Unicorn"	130000000	70102165	348902165
"The Bourne Ultimatum"	130000000	227471070	442161562
"Harry Potter and the Prisoner of Azkaban"	130000000	249538952	796688549
"The War of the Worlds"	132000000	234280354	591745532
"Happy Feet Two"	135000000	62170053	117770053
"Miami Vice"	135000000	63478838	163818556
"Master and Commander: The Far Side of the World"	135000000	93926386	209486484
"Rango"	135000000	123257581	245504162
"The World is Not Enough"	135000000	126930660	361730660
"Final Fantasy: The Spirits Within"	137000000	32131830	85131830
"Hulk"	137000000	132177234	245229234
"The Incredible Hulk"	137500000	134806913	263417913
"Stealth"	138000000	32116746	76416746
"Watchmen"	138000000	107509799	184068357
"Spider-Man"	139000000	403706375	821565375
"Fun With Dick And Jane"	140000000	110550000	201798116
"Lethal Weapon 4"	140000000	130444603	285400000
"Star Trek"	140000000	257730019	385680446
"Men in Black 2"	140000000	190418803	441767803
"Armageddon"	140000000	201578182	554600000
"Die Another Day"	142000000	160942139	431942139
"Sahara"	145000000	68671925	121671925
"Tarzan"	145000000	171091819	448191819
"Flushed Away"	149000000	64665672	177665672
"Mars Needs Moms"	150000000	21392758	39549758
"The Wolf Man"	150000000	62189884	142634358
"Beowulf"	150000000	82195215	194995215
"G-Force"	150000000	119436770	287389685
"Bee Movie"	150000000	126631277	287594577
"Bolt"	150000000	114053759	313953759
"The Last Airbender"	150000000	131772187	319713881
"Batman Begins"	150000000	205343774	368527774
"X-Men Origins: Wolverine"	150000000	179883157	374825760
"Mission: Impossible III"	150000000	133501348	397501348
"Night at the Museum: Battle of the Smithsonian"	150000000	177243721	413054631
"Thor"	150000000	181030624	449326618
"Charlie and the Chocolate Factory"	150000000	206459076	474459076
"Angels & Demons"	150000000	133375846	490875846
"Troy"	150000000	133298577	497398577
"I am Legend"	150000000	256393010	585410052
"Madagascar: Escape 2 Africa"	150000000	180010950	599516844
"Ratatouille"	150000000	206445654	620495432
"Hancock"	150000000	227946274	624346274
"Harry Potter and the Goblet of Fire"	150000000	290013036	896911078
"Harry Potter and the Order of the Phoenix"	150000000	292004738	942943935
"Transformers"	151000000	319246193	708272592
"Pearl Harbor"	151500000	198539855	449239855
"Hugo"	155000000	54949782	63049782
"Alexander"	155000000	34297191	167297191
"Poseidon"	160000000	60674817	181674817
"The Sorcerer's Apprentice"	160000000	63150991	215150991
"The Curious Case of Benjamin Button"	160000000	127509326	329809326
"X-Men: First Class"	160000000	146408305	355408305
"Shrek the Third"	160000000	322719944	798958162
"Inception"	160000000	292576195	832584416
"Cowboys and Aliens"	163000000	100240551	175001224
"How to Train Your Dragon"	165000000	217581231	494870991
"Shrek Forever After"	165000000	238736787	752600867
"Van Helsing"	170000000	120150546	300150546
"The Polar Express"	170000000	182703661	306803661
"Terminator 3: Rise of the Machines"	170000000	150358296	433058296
"Iron Man 2"	170000000	312433331	623561331
"Evan Almighty"	175000000	100289690	173219280
"Wild Wild West"	175000000	113805681	221229335
"Waterworld"	175000000	88246220	264246220
"G.I. Joe: The Rise of Cobra"	175000000	150201498	302469017
"Monsters vs. Aliens"	175000000	198351526	381687380
"The Mummy: Tomb of the Dragon Emperor"	175000000	102491776	397912118
"Up"	175000000	293004164	731304609
"Rush Hour 3"	180000000	140125968	253025968
"WALL-E"	180000000	223808164	532743103
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"	180000000	291710957	748806957
"Indiana Jones and the Kingdom of the Crystal Skull"	185000000	317023851	786558145
"The Dark Knight"	185000000	533345358	1001945358
"Iron Man"	186000000	318604126	582443126
"Disney's A Christmas Carol"	190000000	137855863	323743744
"Green Lantern"	200000000	116601172	222001172
"Prince of Persia: Sands of Time"	200000000	90759676	335059676
"Terminator Salvation: The Future Begins"	200000000	125322469	371628539
"Tron: Legacy"	200000000	172062763	397562763
"Cars 2"	200000000	191450875	553950875
"2012"	200000000	166112167	766812167
"Spider-Man 2"	200000000	373524485	783705001
"Alice in Wonderland"	200000000	334191110	1024391110
"Toy Story 3"	200000000	415004880	1064404880
"Titanic"	200000000	600788188	1842879955
"His Dark Materials: The Golden Compass"	205000000	70107728	372234864
"King Kong (bis)"	207000000	218080025	550517357
"Robin Hood"	210000000	105487148	322459006
"X-Men: The Last Stand"	210000000	234362462	459359555
"Transformers: Revenge of the Fallen"	210000000	402111870	836519699
"The Chronicles of Narnia: Prince Caspian"	225000000	141621490	419490286
"Pirates of the Caribbean: Dead Man's Chest"	225000000	423315812	1060615812
"Quantum of Solace"	230000000	169368427	591692078
"Superman Returns"	232000000	200120000	390874000
"Avatar"	237000000	760507625	2783918982
"Harry Potter and the Half-Blood Prince"	250000000	301959197	934416487
"Pirates of the Caribbean: On Stranger Tides"	250000000	241063875	1039163875
"Spider-Man 3"	258000000	336530303	890875303
"Tangled"	260000000	200821936	586581936
"Pirates of the Caribbean: At World's End"	300000000	309420425	960996492
